Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
The langham Boston,Yes,Hotel,250 Franklin St,02110," 280,000 ",75.5,41,,Hotel,1922,274.9,0.981785714," 21,144,655 ",100%,0%,0%,,,,,0304157000
Trinity Terrace Apartments,Yes,Multifamily Housing,75 Federal Street 4th Floor,02110," 76,425 ",54.7,100,,Multifamily Housing,1990,232.9,3," 4,181,218 ",0%,94%,0%,5.67,,,,1401610000
"Two Hundred Mortgage Associates, L.P.",Yes,Office,200 High Street,02110," 96,393 ",98.3,Not Available,,Office,1900,849.9,8.8," 9,474,235 ",84%,16%,0%,26.31,,,,0304042000 0304043010 0304044000
Two International Place,Yes,Office,Two International Place,02110," 981,195 ",77.8,77,2014,"Bank Branch, Data Center, Office, Other - Mall, Parking, Repair Services, Restaurant",1992,6404.6,7.5," 66,201,162 ",100%,0%,0%,10.94,,,,0304071000 0304060010
Washington Beech PH1,Yes,Multifamily Housing,75 Federal Street,02110," 55,000 ",99.4,57,,Multifamily Housing,1900,329.5,6," 5,465,378 ",16%,84%,0%,47.92,,,,1806017110
Washington Beech PH2,Yes,Multifamily Housing,75 Federal Street,02110," 55,000 ",53,100,,Multifamily Housing,1900,160.3,2.9," 2,915,837 ",4%,96%,0%,8.97,,,,1806017010
105-129 Kingston Street,Yes,Office,2 24 Edinboro Street,02111," 75,500 ",72.5,Not Available,,"Office, Parking, Retail Store",1910,420,5.6," 5,471,889 ",34%,0%,66%,,,,,0304421000
141 tremont street,Yes,Office,141 tremont street,02111," 64,884 ",84.4,38,,Office,1969,529.9,8.2," 5,477,040 ",100%,0%,0%,11.47,,,,0304800000
170 Parkside Condominium Trust,Yes,Multifamily Housing,170 Tremont St ,02111," 119,448 ",77.6,36,,"Multifamily Housing, Parking",1985,550.7,5.7," 7,498,864 ",47%,53%,0%,40.49,,This is an 18 story condominium Building with 93 Residential units and 2 commercial units.  It has a 4 story fully enclosed under ground parking lot.  All units are individually owned and each unit has its own separate electric meter.  Gas is provided to all units for cooking.  The fuel source for heat is gas.,,0304842000
178-179 Tremont Street,Yes,Office,178-179 Tremont Street,02111," 50,600 ",116.7,48,,Office,1916,456.7,9," 5,906,585 ",55%,45%,0%,20.08,,,,0304884000
179 Lincoln Street,Yes,Office,179 Lincoln Street,02111," 253,068 ",64.3,88,"2014, 2013, 2012","Office, Parking",1899,1352.9,5.7," 15,204,028 ",82%,18%,0%,8.38,,"Property acquired by Invesco Jan 2012.

2/11/2014- updated occupancy sheet shows a 10% increase in occupancy since baseline. PM investigating quarter usage increase in water.

Regarding the increased usage, we had issues with our chillers from March – May.  We have two roof top chillers and typically only need to run one, but this spring had to run both in order to be able to fulfil cooling needs for the building until the repairs were made.  I think this was probably the cause for the increase.   We also have one tenant on the 4th floor (that moved in January 2014) that has been holding events on the week nights.  Probably 1 night",,05332-000
186 Lincoln Street,Yes,Office,186 Lincoln Street,02111," 70,957 ",46,86,,Office,1899,289,4.1," 3,261,839 ",65%,2%,0%,,,,,030534010
201-207 South Street,Yes,Office,201-207 South Street,02111," 62,487 ",93.2,Not Available,,Office,1909,411.2,6.6," 5,822,081 ",40%,60%,0%,,,,,05348-000
26 West,Yes,Office,26 West Street,02111," 50,670 ",48.6,88,,"Office, Personal Services",1910,204.7,4," 2,464,353 ",69%,31%,0%,25.16,,,,0304840000
26570 - Boston Commons 19,Yes,Movie Theater,175 Tremont Street,02111," 113,000 ",96.5,Not applicable to this property type,,Movie Theater,1990,1055.2,9.3," 10,906,868 ",100%,0%,0%,0.00,,,,0304870408
35 Kneeland Street,Yes,Medical Office,35 Kneeland Street,02111," 115,272 ",126.9,26,,Medical Office,1940,1276.2,11.1," 14,630,532 ",69%,0%,31%,28.10,,,,0305367000
38 Chauncy Street,Yes,Office,38 Chauncy Street,02111," 141,980 ",60.2,74,,Office,1928,815.5,5.7," 8,549,585 ",97%,3%,0%,8.98,,,,0304557000
55 Summer Street,Yes,Office,55 Summer Street,02111," 128,961 ",115,46,,"Office, Retail Store",1976,1182.3,9.2," 14,824,871 ",61%,39%,0%,11.41,,,,0304560000
660 Washington,Yes,Multifamily Housing,660 Washington St,02111," 711,442 ",74.3,25,,"Multifamily Housing, Parking, Restaurant",2006,3280.3,5.4," 45,453,360 ",44%,56%,0%,31.04,,"2014-1)  Parking Garage - Exclude from sq ft and aggregated electric meter list since it has its own electric meter/account.
2014-2) Restaurant listed separate since operating hours significantly differ from apt bldg.
",,0304965012
695 Atlantic Ave,Yes,Office,695 Atlantic Ave,02111," 187,000 ",95.2,84,"2013, 2007","Data Center, Office, Other, Restaurant",1898,1623.7,8.7," 17,801,021 ",87%,13%,0%,27.95,,,,0304302010
711 Atlantic Avenue,Yes,Office,711 Atlantic Avenue,02111," 91,464 ",85.2,68,,Office,1898,605.7,6.6," 7,794,636 ",56%,44%,0%,,,,,04309-000
745 Atlantic Ave,Yes,Office,745 Atlantic Ave,02111," 227,316 ",50.2,95,,"Office, Parking",1988,864.3,4.9," 8,933,641 ",100%,0%,0%,4.16,,,,0305355000
99 Bedford Street,Yes,Office,99 Bedford Street,02111," 93,779 ",71.3,84,2014,Office,1874,526,5.6," 6,685,848 ",59%,41%,0%,6.59,,,,0304245000
99 Chauncy Street,Yes,Office,99 Chauncy Street,02111," 108,106 ",59,92,,Office,1968,486,4.5," 6,373,014 ",53%,47%,0%,7.23,,,,0304504000
Biomedical Research and Public Health Building,Yes,Laboratory,136 Harrison Avenue,02111," 290,327 ",315.8,Not applicable to this property type,,"College/University, Laboratory",1940,7232.5,24.9," 91,670,799 ",41%,0%,59%,55.11,,"                                                                                               GSF    Parcel# 
BRPH - M&V Wing	                  136 Harrison Avenue    129947  305251000

BRPH - Stearns Wing	                  120 Harrison Avenue	    58793   305252000

BRPH - Arnold Wing	                  116 Harrison Avenue	    56300   305253000

BRPH - South Cove Wing	 55 Kneeland Street	    45287   305254000
 
",,"305251000,305254000,305253000,  305252000"
Boston Common Ranger Station,Municipal,Other - Recreation,148 TREMONT ST,02111, 862 ,197,Not applicable to this property type,,Other - Recreation,2000,9, 10.5 ," 169,800 ",0%,100%,0%,,,,,
Boston Common Visitor Center,Municipal,Other,Tremont St Vstr  /  West,02111," 1,234 ",101.7,Not applicable to this property type,,Other,2000,12.1, 9.8 ," 125,487 ",100%,0%,0%,,,,,
BOSTON OPERA HOUSE,Yes,Performing Arts,539 WASHINGTON STREET,02111," 118,781 ",123.4,Not applicable to this property type,,Performing Arts,1928,1047.6,8.8," 14,652,461 ",42%,58%,0%,,,,,Not Available
Boston Redevelopment Authority,Yes,Office,c/o Newmark Knight Frank,02111," 102,710 ",37.2,95,,Office,1887,370.1,3.6," 3,825,144 ",100%,0%,0%,11.07,,,,0304908000
Chauncy House L.P.,Yes,Multifamily Housing,115 Chauncy Street ,02111," 61,764 ",91.9,10,,"Multifamily Housing, Other - Services",1900,395.1,6.4," 5,677,305 ",38%,62%,0%,82.88,,,,0304506000
Chauncy Place Corporation,Yes,Office,72 Essex Street,02111," 71,800 ",130.5,28,,"Office, Personal Services",1899,790.5,11," 9,370,880 ",56%,0%,0%,65.03,,,,0304510000
Dental Health Building,Yes,College/University,1 Kneeland Street,02111," 330,486 ",284.7,Not applicable to this property type,,"College/University, Hospital (General Medical & Surgical)",1973,6978.7,21.1," 94,085,400 ",26%,0%,74%,24.44,,"

Water, electricity and steam come from Tufts Shared Services (TSS).  TSS provides water, electricity and steam to both Tufts Medical Center and Tufts University's Dental School and Sackler Center.  Utilities are submetered with some allocations.

330486  Total building GSF after vertical expansion   
-11174    part of 5th floor used by TMC
-10432    part of 6th floor used by TMC
308880",,0305380000
Doubletree by Hilton Boston Downtown,Yes,Hotel,821 Washington St,02111," 149,795 ",109.7,36,,Hotel,2004,1257.9,8.4," 16,436,952 ",54%,46%,0%,107.16,,,,0305560010
Engine 03,Municipal,Fire Station,618 Harrison Ave,02111," 6,000 ",130.1,Not applicable to this property type,,Fire Station,2000,49, 8.2 ," 780,407 ",22%,78%,0%,,,,,
GLC 6112006/8 HARRISON AVE/BOSTON/MA,Yes,Office,8 HARRISON AVE,02111," 161,486 ",133.3,7,,Office,1905,1995.2,12.4," 21,534,026 ",87%,0%,13%,27.02,,,,0304482000
High Pressure Station,Municipal,Fire Station,117 Kneeland St,02111," 2,500 ",61.6,Not applicable to this property type,,Fire Station,2000,14.9, 6.0 ," 153,963 ",100%,0%,0%,,,,,
Hyatt Regency Boston,Yes,Hotel,One Avenue De Lafayette,02111," 462,684 ",82.7,57,"2013, 2012, 2011, 2010, 2007","Hotel, Other, Restaurant",1983,3125.7,6.8," 38,243,341 ",66%,34%,0%,42482.56,,,,0304500100
Jaharis Family Center for  Biological and Nutrition Sciences,Yes,Laboratory,150 Harrison Avenue,02111," 179,423 ",362.1,Not applicable to this property type,,Laboratory,2002,5138.7,28.6," 64,975,699 ",42%,0%,58%,34.90,,,,0305104000
Kneeland Street Station,Yes,Energy/Power Station,165 Kneeland Street,02111," 169,000 ",3.7,Not applicable to this property type,,Energy/Power Station,1930,59.8,0.4," 617,862 ",100%,0%,0%,19.59,,"The facility is a steam generating plant part of the Veolia heating and cooling district in Boston.

Energy and water consumption entries for the building were made based on the percent of electricity and water used for the building itself (lighting, excluding resources utilized in the steam production process as follows:
- Electricity - use by the building was estimated to be 5% of total electricity purchased per year based on estimates made for buildings of similar size.
- Water - use by the building was estimated to 1% of total usage based on steam production records. 
- Steam - 100% of the steam generated at the station is exported to the distribution system or recirculated to support the steam production process. 
- Natural Gas & Oil - 100% of fossil fuels are utilized for the steam production process. ",,Not Available
Lincoln Plaza,Yes,Office,89 South Street,02111," 107,432 ",62.3,87,"2015, 2014, 2013, 2012, 2008, 2007",Office,1984,570.3,5.3," 6,691,407 ",74%,26%,0%,12.83,,,,0304304400
Lincoln Plaza Condominium,Yes,Other - Lodging/Residential, 183 Essex Street,02111," 107,314 ",61.3,Not Available,,Other - Lodging/Residential,1899,552.4,5.1," 6,576,872 ",71%,0%,0%,23.93,,,,Not Available
Mason Place: 80 Mason St,Yes,Multifamily Housing,80 Mason St,02111," 134,915 ",66.2,72,,Multifamily Housing,1918,576.9,4.3," 8,934,743 ",26%,74%,0%,34.41,,,,0304838000
Metropolitan,Yes,Multifamily Housing,1 Nassau Street,02111," 257,600 ",66.2,51,,Multifamily Housing,2004,1215.3,4.7," 17,062,144 ",42%,58%,0%,57.16,,,,0305424024
Millennium Avery Condo Tr,Yes,Multifamily Housing,580 Washington Street,02111," 280,000 ",90.3,28,,Multifamily Housing,1900,1657.3,5.9," 25,285,076 ",28%,72%,0%,37.58,,,,0304832400
Millennium Place Primary- North Tower,Yes,Multifamily Housing,1-3 Avery Street,02111," 362,409 ",2361.4,1,,"Multifamily Housing, Restaurant",2001,45890.3,126.6," 855,793,582 ",1%,99%,0%,27.36,,,,Not Available
Millennium Place Primary-South Tower,Yes,Mixed Use Property,2 Avery Street,02111," 1,096,510 ",164.3,Not applicable to this property type,,"Fitness Center/Gym, Hotel, Movie Theater, Multifamily Housing, Office, Parking, Retail Store",2000,10144.4,11.7," 143,001,614 ",41%,59%,0%,44.41,,,,0304870400
Oak Terrace Apartments,Yes,Multifamily Housing,888 Washington Street,02111," 110,224 ",76.3,62,,Multifamily Housing,1994,577.3,5.2," 8,413,464 ",36%,64%,0%,69.25,,,,0305484010
One Financial Center,Yes,Office,One Financial Center,02111," 1,265,178 ",56.4,82,"2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Office, Parking",1984,6513.9,5.5," 67,330,861 ",100%,0%,0%,9.22,,,,0304285000
Posner Hall,Yes,College/University,200 Harrison Avenue,02111," 60,284 ",95.9,Not applicable to this property type,,College/University,1951,392.6,6.5," 5,778,280 ",34%,66%,0%,20.02,,,,0305081000
QUINCY,Municipal,K-12 School,885 Washington St.,02111," 212,079 ",68.6,48,,K-12 School,1976,1047.9, 4.9 ," 14,540,985 ",43%,57%,0%,2.51,,,,
QUINCY MODULARS,Municipal,K-12 School,900 Washington St.,02111," 16,960 ",39.9,96,,K-12 School,2000,51.4, 3.0 ," 675,902 ",52%,48%,0%,1.19,,,,
Quincy Towers,Yes,Multifamily Housing,Quincy Tower,02111," 123,197 ",69.7,92,,Multifamily Housing,1900,515.2,4.2," 8,585,871 ",16%,84%,0%,69.96,,,,0305550000
Residences of 210 South Street Condominium,Yes,Multifamily Housing,210 South Street,02111," 87,964 ",53.3,34,,Multifamily Housing,1920,370.8,4.2," 4,685,390 ",60%,40%,0%,27.83,,,,0305358202
Road Scholar,Yes,Office,11 Avenue de Lafayette,02111," 58,000 ",60.5,Not Available,,Office,1892,339.3,5.8," 3,508,834 ",100%,0%,0%,12.72,,,,Not Available
Sackler Center,Yes,College/University,145 Harrison Avenue,02111," 133,787 ",149.9,Not applicable to this property type,,College/University,1986,1644.3,12.3," 20,055,835 ",51%,0%,49%,15.25,,"Water, electricity and steam come from Tufts Shared Services (TSS).  TSS provides water, electricity and steam to both Tufts Medical Center and Tufts University's Dental School and Sackler Center.  Utilities are submetered with some allocations.",,0305371000
SSFC,Yes,Financial Office,One Lincoln Street,02111," 1,341,926 ",122,71,,"Data Center, Financial Office, Parking, Restaurant",2003,12145.5,11.6," 127,286,471 ",97%,3%,0%,16.28,,,,0304246010
Station 514,Yes,Energy/Power Station,67 Kingston St. (Chauncy St.),02111," 80,250 ",Not Available,Not applicable to this property type,,Energy/Power Station,1988,0,0, Not Available ,0%,0%,0%,0.37,,,,0304520000
STP LLC,Yes,Retail Store,477 481 Washington Street,02111," 171,918 ",Not Available,Not Available,,"Office, Retail Store",1920,Not Available,Not Available, Not Available ,0%,0%,0%,,,,,Not Available
Tai Tung Village,Yes,Multifamily Housing,232 Harrison Avenue,02111," 596,474 ",42.3,99,,"Multifamily Housing, Parking",1973,1402,2.4," 25,221,925 ",6%,94%,0%,29.47,,,,0305021000
The Kensington,Yes,Multifamily Housing,665 Washington Street,02111," 368,665 ",31.5,Not Available,,"Multifamily Housing, Office, Parking, Retail Store",2013,697,2.2," 9,943,717 ",39%,61%,0%,29.18,,,,2203382000
The Stearns: 10 Temple Place,Yes,Multifamily Housing,10 Temple Pl,02111," 120,700 ",78.3,51,,Multifamily Housing,1909,626.9,5.2," 9,447,738 ",30%,70%,0%,49.97,,,,0304794000
Tremont on the Common Condominium,Yes,Multifamily Housing,151 Tremont Street,02111," 500,000 ",16.5,100,,"Multifamily Housing, Parking",1967,478.7,1.6," 4,947,988 ",100%,0%,0%,35.75,,,,Not Available
Tufts Medical Center,Yes,Hospital (General Medical & Surgical),800 Washington St,02111," 2,102,964 ",174.4,75,,"Data Center, Hospital (General Medical & Surgical), Parking",1982,25142.6,13.7," 319,111,652 ",41%,1%,58%,29.32,,,,Not Available
Two Financial Center,Yes,Office,60 South Street,02111," 355,340 ",73.6,74,2014,"Convenience Store, Office, Parking, Retail Store",2009,2098.6,7.1," 21,691,633 ",100%,0%,0%,8.78,,,,0304300010
39 North Bennet Street,Municipal,Other - Education,39 North Bennet Street,02113," 30,000 ",Not Available,Not applicable to this property type,,Other - Education,1879,0, -   , Not Available ,0%,0%,0%,,,,,
Casa Maria Apartments LP,Yes,Multifamily Housing,130 Endicott Street ,02113," 95,176 ",72.1,49,,Multifamily Housing,1980,434.1,4.6," 6,864,124 ",23%,77%,0%,24.09,,,,0301498000
ELIOT,Municipal,K-12 School,18 Charter St.,02113," 34,603 ",59.4,94,,K-12 School,1932,125.8, 3.6 ," 2,056,079 ",19%,81%,0%,1.01,,,,
Marketplace Lofts Limited Partnership,Yes,Multifamily Housing,10 Thacher Street,02113," 72,600 ",40,74,,Multifamily Housing,1904,237.2,3.3," 2,902,650 ",66%,34%,0%,28.39,,,,0301309000
Nazzaro Community Center,Municipal,Other - Recreation,32 North Bennet St,02113," 28,000 ",62.6,Not applicable to this property type,,Other - Recreation,2000,107.5, 3.8 ," 1,753,825 ",19%,81%,0%,1.08,,,,
North End Branch,Municipal,Library,25 Parmenter St,02113," 7,600 ",102.4,Not applicable to this property type,,Library,2000,52.6, 6.9 ," 778,020 ",33%,67%,0%,2.21,,,,
Saint John School,Yes,K-12 School,9 Moon Street,02113," 58,645 ",24.1,100,,K-12 School,1899,87.7,1.5," 1,414,763 ",20%,80%,0%,,,,,Not Available
101 Merrimac Street,Yes,Office,101 Merrimac Street,02114," 166,165 ",74.8,75,,"Office, Parking",1990,1016.3,6.6," 11,517,238 ",81%,19%,0%,17.13,,,,Not Available
172-The Boxer (Bulfinch) Hotel,Yes,Hotel,107 Merrimac Street,02114," 47,420 ",118.5,56,,Hotel,2005,382.1,8.1," 5,619,981 ",34%,66%,0%,73.07,,,,Not Available
205 Portland Street,Yes,Other,205 Portland Street,02114," 47,500 ",25.2,Not applicable to this property type,,Other,1900,102,2.1," 1,195,923 ",74%,26%,0%,13.77,,,,0301651000
239 Causeway Street,Yes,Office,239 Causeway Street,02114," 63,750 ",28.2,Not Available,,Office,1917,135.7,2.1," 1,798,991 ",51%,49%,0%,0.09,,There was an average of 50% vacancy in 2014.,,01517000
25 New Chardon Street,Yes,Office,25 New Chardon Street,02114," 129,338 ",63.4,86,2014,"Office, Parking",1967,562.7,5.1," 7,056,680 ",61%,39%,0%,1272.48,,A medical training office on third floor makes extensive use of computers but does not have a dedicated data center,,0302622000
250 Cambridge,Yes,Multifamily Housing,250 Cambridge St.,02114," 86,006 ",78.6,20,,Multifamily Housing,1978,459.7,5.3," 6,757,756 ",34%,0%,0%,45.37,,Data is accurate and accounted for. Energy consumption data was sent by Eversource. ,,0502186000
251 Causeway - Ste# 700490,Yes,Office, 251 Causeway Street,02114," 150,097 ",59.4,76,"2014, 2013","Medical Office, Office",1909,853.4,5.7," 8,909,373 ",98%,2%,0%,12.00,,,,0301510000
50 Staniford,Yes,Office,50 Staniford St,02114," 193,230 ",105.7,33,,Office,1975,1829.6,9.5," 20,432,003 ",83%,17%,0%,22.15,,"1-2014) Aggregated gas incl now incl 60 Staniford.

2013 Notes:
1) Gross floor area based upon retail rent roll which reflects total exterior wall-to-exterior wall sq ft.  BOMA guidelines gross up each tenant's rentable square footage to incl common areas.
2) Parcel ID incl multiple bdgs (50 Staniford, Longfellow Place, CRP Sports Garage).
    Only 50 Staniford and CRP Sports Garage meet 2013 reporting requirements.  
    CRP Sports Garage will be filed as separate property.
3)  Bldg has secondary structure identified as 60 Staniford (Suite 60).  On 5/14/14 reached out to single tenant with dedicated electric and gas service to secure tenant authorization form to obtain electric and gas consumption data.
4)  Aggregated electric incl 60 Staniford use.  Nstar recommended simply requesting 50 Staniford information and adding 60 Staniford (rather than submitting tenant authorization form.) Nstar confirmed that is only a single account/meter assigned to 60 Staniford for MGH.  
",,0300470000
98 N. Washington Street,Yes,Office,98 N. Washington Street,02114," 88,003 ",47.6,Not Available,,"Office, Parking",1986,332.1,4.1," 3,832,218 ",77%,23%,0%,9.94,,,,0301518000
A-01 Station,Municipal,Police Station,40 NEW SUDBURY ST,02114," 37,433 ",153.9,Not applicable to this property type,,Police Station,2000,404.5, 10.8 ," 5,761,379 ",39%,61%,0%,1.54,,,,
African American Museum,Municipal,Museum,46 Joy St,02114," 4,500 ",Not Available,Not applicable to this property type,,Museum,2000,0, -   , Not Available ,0%,0%,0%,0.96,,,,
Amy Lowell House: 65 Martha Road,Yes,Multifamily Housing,65 Martha Rd,02114," 115,000 ",48.1,100,,Multifamily Housing,1975,341.5,3," 5,527,286 ",20%,80%,0%,40.50,,,,0300465000
Avenir,Yes,Multifamily Housing,101 Canal St.,02114," 380,044 ",51.5,81,,"Multifamily Housing, Parking, Retail Store",2009,1289,3.8," 17,279,841 ",49%,51%,0%,28.61,,2014-1)  Gross floor area reflects Asssessor's living area less enclosed parking garage.,,0301570001
Bay Cove Human Services,Yes,Office,157-159 Friend Street,02114," 54,893 ",61.2,91,,"Office, Urgent Care/Clinic/Outpatient",1899,252.7,4.6," 3,358,486 ",51%,49%,0%,723.60,,,,0301612000
Beacon House Rogerson LP,Yes,Other - Lodging/Residential,19 Myrtle Street ,02114," 77,770 ",32.7,Not applicable to this property type,,Other - Lodging/Residential,1986,245.7,3.2," 2,539,546 ",100%,0%,0%,49.24,,,,0300168000
Blackstone,Yes,Multifamily Housing,33 Blossom Street,02114," 133,315 ",40,100,,Multifamily Housing,1978,283.2,2.1," 5,332,624 ",0%,100%,0%,32.99,,,,0300670000
Bowdoin  Place Condominium,Yes,Multifamily Housing,10 Bowdoin Street,02114," 112,888 ",23.4,97,,Multifamily Housing,2004,255.2,2.3," 2,637,613 ",100%,0%,0%,20.10,,,,302726010
BRA / EDIC,Municipal,Other,43 HAWKINS ST,02114," 23,408 ",267.7,Not applicable to this property type,,Other,2000,401.3, 17.1 ," 6,266,506 ",25%,75%,0%,,,,,
Causeway Primary Condo Trust,Yes,Multifamily Housing,226 Causeway St,02114," 176,692 ",78.9,3,,Multifamily Housing,2001,1083.9,6.1," 13,943,521 ",56%,44%,0%,54.88,,,,0303061020
