Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported
198 Geneva Avenue,Yes,Office,198 Geneva Avenue,02121,60000,92.8,71,,Office,1968,390.2,6.5,5570991,39%,61%,,14.5,,1400038000,"2014, 2015, 2016"
2 - 12 Dudley T,Yes,Multifamily Housing,2 Dudley Ter.,02125,14861,70.1,Not Available,,Multifamily Housing,1900,61.6,4.1,1041937,14%,86%,,45.5,,0703926000,"2015, 2016"
2 Alger Street Realty Trust,Yes,Distribution Center,2 Alger Street,02127,42800,27.1,58,,Distribution Center,1967,112.2,2.6,1159701,100%,,,0.6,,Not Available,2016
2 Atlantic,Yes,Office,2 Atlantic Avenue,02110,68035,147.4,28,,Office Parking,1998,769.9,7.8,10026138,54%,46%,,21.0,,0303030010,"2014, 2015, 2016"
2 Cummington Street (23-25 Blandford Street),Yes,Laboratory,2 Cummington Street (23-25 Blandford Street),02215,61754,154.7,Not Available,,Laboratory,1905,717.0,11.6,9552723,50%,50%,,30.2,,2100295000,"2014, 2015, 2016"
2 Morrissey Boulevard,Yes,Financial Office,2 Morrissey Boulevard,02125,425737,124.9,Not Available,,Financial Office,1959,4388.3,10.3,53167151,67%,33%,,20.8,,"1303405000, 1303404000, 1303403000",2016
2 Oliver St.,Yes,Office,2 Oliver St.,02110,233763,50.1,86,,Office,1900,1133.3,4.8,11713910,100%,,,13.2,,0304026000,"2014, 2015, 2016"
2 Park Plaza,Yes,Retail Store,2 Park Plaza,02116,117000,8.7,100,,Office Retail Store,1800,98.3,0.8,1016032,100%,,,,,Not Available,2016
20 City Hall Ave,Municipal,Office,20 City Hall Ave,02108,9680,93.6,53,,Office,2000,67.7,7,906454,27%,,73%,,,Not Available,2016
20 Custom House,Yes,Office,20 Custom House,02110,96032,162,17,,Office,1984,1505.3,15.7,15559410,100%,,,25.8,,0303998000,"2014, 2015, 2016"
20 Somerset Building,Yes,College/University,20 Somerset Street,02108,103599,46.7,Not Available,,College/University,2015,468.0,4.5,4837829,100%,,,5.0,,Not Available,2016
20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,Yes,Office,20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,02110,118000,77.5,Not Available,,Office,1873,740.1,6.3,9140792,48%,,52%,7.8,,0304615000 0304617000  0304616000 ,"2014, 2015, 2016"
200 Clarendon St.,Yes,Office,200 Clarendon Street,02116,2254777,95.7,75,,Data Center Office Parking,1976,17824.5,7.9,215787141,53%,,47%,12.7,,0401134000,"2014, 2015, 2016"
200 Newbury Street,Yes,Retail Store,200 Newbury Street,02116,48000,54.2,34,,Office Parking Retail Store,1995,251.6,5.2,2600149,100%,,,14.3,,0503201000,2016
200 portlands st,Yes,Office,200 portland st,02114,98000,13.2,100,,Office Restaurant,1900,125.1,1.3,1293320,100%,,,16.4,,Not Available,"2014, 2016"
200 State Street,Yes,Office,200 State Street,02109,352323,51,83,,Office Parking,1986,1738.9,4.9,17974447,100%,,,15.5,,0303790002,"2014, 2016"
201-207 South Street,Yes,Office,201-207 South Street,02111,62487,110.7,64,,Office,1909,464.8,7.4,6919893,32%,68%,,16.2,,05348-000,"2014, 2015, 2016"
20-28 Cummington Street (24 Cummington St),Yes,Laboratory,20-28 Cummington Street (24 Cummington St),02215,188575,365.5,Not Available,,Laboratory,1983,5203.5,27.6,68923322,51%,49%,,47.4,,2100288000,"2014, 2015, 2016"
205 Portland Street,Yes,Other,205 Portland Street,02114,47500,29.1,Not Available,,Other,1900,116.1,2.4,1381857,71%,29%,,13.1,,0301651000,"2015, 2016"
21 Custom House,Yes,Office,21 Custom House Street,02210,105197,84.6,61,,Office Parking,1984,861.0,8.2,8899905,100%,,,13.1,,0303988000,"2014, 2015, 2016"
211 Congress Street,Yes,Office,211 Congress Street,02110,78101,75.9,80,,Office,1922,438.7,5.6,5930621,48%,52%,,13.9,,Not Available,"2014, 2015, 2016"
213-217 Bay State Road,Yes,Worship Facility,213-217 Bay State Road,02215,130204,29.7,Not Available,,Worship Facility,2003,276.4,2.1,3865962,42%,58%,,4.5,,Not Available,"2014, 2015, 2016"
216 Tremont,Yes,College/University,216 Tremont Street,02116,45388,104,Not Available,,College/University,1926,373.8,8.2,4721068,42%,,58%,11.9,,Not Available,2016
22 Elkins,Yes,Office,22 Elkins Street,02127,26215,138.9,52,,Office,1900,218.8,8.3,3642110,16%,84%,,2.7,,0603405060,"2014, 2015, 2016"
22 Hammond Street,Yes,Multifamily Housing,22 Hammond Street,02120,114190,84.1,100,,Multifamily Housing,1900,509.8,4.5,9598586,,100%,,46.9,,0901850000,"2015, 2016"
22-24 Buswell Street,Yes,Multifamily Housing,22-24 Buswell Street,02215,35036,66.6,87,,Multifamily Housing,1914,139.3,4.0,2331809,15%,85%,,38.7,,Not Available,"2014, 2015, 2016"
225 Centre LLC,Yes,Multifamily Housing,225 Centre St,02119,105949,59.7,96,,Multifamily Housing Parking Retail Store,2013,399.1,3.8,6320943,23%,77%,,5.7,,1100896020,"2015, 2016"
225 Franklin Street,Yes,Office,225 Franklin Street,02110,1085514,100.8,79,,Office Parking,1966,8803.6,8.1,109416038,46%,,54%,14.7,,0304134000,"2014, 2015, 2016"
226 Causeway Primary Condo Trust,Yes,Mixed Use Property,226 Causeway St,02114,366637,78.8,54,,Multifamily Housing Office Parking,1907,2494.2,6.8,28904629,76%,24%,,22.4,,0303061020,"2015, 2016"
230 Congress Street,Yes,Office,230 Congress Street,02210,153259,25693.9,1,,Office,1930,262372.0,1712.0,3937825902,1%,,99%,15.8,,0304190000,"2014, 2015, 2016"
233 Bay State Road,Yes,Not Available,233 Bay State Road,02215,Not Available,Not Available,Not Available,,,1968,Not Available,Not Available,Not Available,,,,,,Not Available,"2015, 2016"
239 Causeway Street,Yes,Office,239 Causeway Street,02114,63750,28.1,Not Available,,Office,1917,136.8,2.1,1794380,53%,47%,,0.1,,01517000,"2015, 2016"
24 Federal Street,Yes,Office,24 Federal Street,02110,74406,97.9,50,,Office,1921,563.7,7.6,7285844,56%,44%,,8.2,,Not Available,"2015, 2016"
241 St. Botolph,Yes,College/University,241 St. Botolph Street,02115,60000,82.9,Not Available,,College/University,1905,329.0,5.5,4972971,30%,70%,,9.4,,Not Available,2016
25 Buick Street,Yes,Office,25 Buick Street,02215,96215,208.1,14,,Office Parking,1928,1381.5,14.4,20026392,36%,64%,,22.6,,2100400000,"2014, 2015, 2016"
25 Channel Center Condominium Trust,Yes,Multifamily Housing,25 Channel Center,02210,60000,78,32,,Multifamily Housing,2004,337.7,5.6,4681505,44%,56%,,46.2,,0602751100,2016
25 New Chardon Street,Yes,Office,25 New Chardon Street,02114,111338,92,74,,Office Parking,1967,737.8,6.6,10242317,43%,57%,,1454.6,,0302622000,"2014, 2015, 2016"
25 Park Drive,Yes,Multifamily Housing,25 Park Drive,02215,26150,5.5,100,,Multifamily Housing,1960,13.9,0.5,143952,100%,,,,,Not Available,2016
25 School Street Inc,Yes,Other - Lodging/Residential,2053R Columbus Ave,02119,51897,102.1,Not Available,,Other - Lodging/Residential,2007,346.2,6.7,5300433,28%,72%,,32.1,,1101588600,"2015, 2016"
250 Cambridge,Yes,Multifamily Housing,250 Cambridge St.,02114,86006,77.1,21,,Multifamily Housing,1978,456.2,5.3,6627167,36%,64%,,48.2,,0502186000,"2015, 2016"
250 summer st,Yes,Office,250 summer st,02210,100096,62,75,,Office,1903,581.5,5.8,6208666,93%,7%,,13.1,,0602701002 0602701001,"2014, 2015, 2016"
251 Causeway - Ste# 700490,Yes,Office, 251 Causeway Street,02114,150097,64,73,,Medical Office Office,1909,914.0,6.1,9600384,96%,3%,,12.5,,0301510000,"2014, 2015, 2016"
253 Summer/27 Melcher,Yes,Office,253 summer st,02210,216012,64.3,87,,Office,1902,1148.5,5.3,13896516,68%,32%,,10.2,,0601163005 0601163015 0601163025 0601164005,"2014, 2015, 2016"
255 State Street Building,Yes,Office,255 State Street,02109,202022,Not Available,Not Available,,Office,1918,Not Available,Not Available,Not Available,,,,26.8,,Not Available,"2015, 2016"
25833-Brighton/Lincoln ST,Yes,Non-Refrigerated Warehouse,156 Lincoln St,02135,113000,9,99,,Non-Refrigerated Warehouse,2008,80.1,0.7,1020521,58%,42%,,2.7,,2200972000,"2014, 2015, 2016"
26 Irwin Av,Yes,Multifamily Housing,26 Irwin Av,02119,4032,200.3,Not Available,,Multifamily Housing,1889,45.7,11.3,807716,8%,92%,,33.9,,1200403000,"2015, 2016"
26 West,Yes,Office,26 West Street,02111,50670,34.5,92,,Office Personal Services,1910,169.2,3.3,1749346,100%,,,22.4,,0304840000,"2014, 2015, 2016"
260 Franklin Street,Yes,Office,260 Franklin Street,02110,372562,64.4,82,,Office Parking,1984,2320.0,6.2,23980133,100%,,,14.1,,0304023000,"2014, 2015, 2016"
260-266 Huntington Avenue,Yes,Performing Arts,260-266 Huntington Avenue,02215,50266,91.7,Not Available,,Performing Arts,1924,326.7,6.5,4607028,41%,59%,,14.5,,Not Available,"2014, 2015, 2016"
264-270 Bay State Road,Yes,Office,264-270 Bay State Road,02215,65016,348,6,,Office,1913,1264.2,19.4,22622633,6%,94%,,40.7,,Not Available,"2014, 2015, 2016"
264-270 Comm Ave,Yes,College/University,262-270 Comm Ave,02215,60170,86.5,Not Available,,College/University,1900,105.2,1.7,5206474,21%,,,30.5,,Not Available,2016
265 Franklin Street,Yes,Office,265 Franklin Street,02110,364493,63,84,,Office Parking,1984,2155.6,5.9,22976964,90%,,10%,11.7,,Not Available,"2014, 2015, 2016"
26570 - Boston Commons 19,Yes,Movie Theater,175 Tremont Street,02111,113000,94.5,Not Available,,Movie Theater,1990,1032.6,9.1,10672975,100%,,,,,0304870408,"2015, 2016"
266 Summer Street,Yes,Office,266 Summer Street,02210,55906,33.5,96,,Office Other,1899,163.2,2.9,1873661,78%,22%,,10.7,,0602701000,"2014, 2015, 2016"
268 Summer Street,Yes,Office,268 Summer Street,02210,69916,60.4,63,,Office,1898,408.3,5.8,4220849,100%,,,11.2,,0602700000,"2014, 2015, 2016"
27 School Street,Yes,Office,27 School Street,02110,56742,55.3,84,,Office,1903,281.5,5.0,3136014,77%,,23%,35.1,,0302864000,"2014, 2015, 2016"
27 State Street,Yes,Office,25-27 State St,02109,28821,30,100,,Office,1974,45.9,1.6,864200,,100%,,,,Not Available,"2015, 2016"
27016-Mattapan(Hydepk)/River St,Yes,Non-Refrigerated Warehouse,800 River Street,02126,50700,21.6,90,,Non-Refrigerated Warehouse,2000,74.1,1.5,1094581,34%,66%,,0.5,,1804365000,"2014, 2015, 2016"
273-277 Babcock Street,Yes,Residence Hall/Dormitory,273-277 Babcock Street,02215,451494,75.6,50,,Residence Hall/Dormitory,1963,2556.7,5.7,34127292,50%,50%,,36.3,,2100402000,"2014, 2015, 2016"
274 Summer Street,Yes,Office,274 Summer St,02210,74046,67.6,68,,Office Restaurant,1899,477.4,6.4,5003413,97%,3%,,11.4,,0602699000,"2014, 2015, 2016"
278-286 Babcock Street,Yes,Parking,278-286 Babcock Street,02215,67992,13.1,Not Available,,Parking,1991,86.1,1.3,889955,100%,,,28.4,,Not Available,"2014, 2015, 2016"
28 Damrell,Yes,Office,28 Damrell Street,02127,86372,52.7,90,,Manufacturing/Industrial Office Parking Restaurant,1848,329.6,3.8,4547956,44%,56%,,5.0,,0700254000,"2015, 2016"
28 State Street,Yes,Office,28 State Street,02109,572153,76.1,70,,Financial Office Office Parking,1968,4213.2,7.4,43549323,100%,,,10.5,,0303694000,"2015, 2016"
28 Travis,Yes,Office,28 Travis St,02134,43190,64.9,84,,Office,2006,200.3,4.6,2803003,42%,58%,,7.8,,2200254000,2016
280 Summer Street,Yes,Office,280,02210,138350,53.8,Not Available,,Office,1900,637.4,4.6,7448170,50%,,,4.5,,0602698000,"2014, 2015, 2016"
281 Summer Street,Yes,Office,273-281 Summer Street,02210,168408,54.7,80,,Office,1904,890.5,5.3,9204955,100%,,,1.9,,02704000 02703000,"2015, 2016"
"285 Babcock, Case Center",Yes,Indoor Arena,"285 Babcock, Case Center",02215,131857,283.3,Not Available,,Indoor Arena,1972,2727.7,20.7,37358394,46%,54%,,124.3,,2100402000,"2014, 2015, 2016"
285 Columbus Ave LLC,Yes,Multifamily Housing,285 Columbus Primary CNDO,02116,100000,72.5,3,,Multifamily Housing,1911,630.9,6.3,7254431,78%,22%,,18.6,,0400548010,2016
285 Summer Street,Yes,Office,285 Summer Street,02210,49294,64.3,64,,Office Parking,1903,287.1,5.8,3167506,86%,14%,,13.3,,0602705000,"2014, 2015, 2016"
29 Commonwealth Ave,Yes,Other,29 Commonwealth Ave,02116,36000,51.1,Not Available,,Other,1885,97.7,2.7,1838800,,100%,,26.4,,Not Available,2016
29187-Boston / Southampton Street,Yes,Non-Refrigerated Warehouse,290 Southampton Street,02118,73400,19.1,95,,Non-Refrigerated Warehouse,2004,100.8,1.4,1402670,43%,57%,,2.4,,0700074020,"2014, 2015, 2016"
295 Huntington,Yes,College/University,295 Huntington,02115,70000,41.1,Not Available,,College/University,889,278.3,4.0,2876995,100%,,,26.3,,Not Available,2016
3 PO Square,Yes,Office,79 Milk Street,02110,65120,152.1,29,,Office,1905,694.3,10.7,9903249,39%,61%,,12.8,,Not Available,"2015, 2016"
30 Federal Street,Yes,Office,30 Federal Street,02110,50000,55.4,82,,Office,1929,235.1,4.7,2767727,73%,27%,,6.7,,0304671000,"2014, 2015, 2016"
30 Northampton Street,Yes,Other,30 Northampton St,02118,60460,19.5,Not Available,,Other Parking,1966,79.2,1.3,1177307,32%,68%,,0.7,,0801750000,"2014, 2015, 2016"
300 A Street,Yes,Office,300 A Street,02210,125688,66.4,95,,Office,1904,607.6,4.8,8350471,45%,55%,,3.1,,0601166060,"2014, 2015, 2016"
300 Babcock Street,Yes,College/University,300 Babcock Street,02215,88000,71.8,Not Available,,College/University,1986,443.3,5.0,6320712,39%,61%,,3.9,,2100412001,"2014, 2015, 2016"
303 Congress Co. LLC,Yes,Office,303 Congress Street,02210,69553,Not Available,Not Available,,Office,2004,Not Available,Not Available,Not Available,,,,10.9,,Not Available,"2014, 2015, 2016"
30-38 Cummington Street,Yes,Laboratory,30-38 Cummington Street,02215,36563,252.7,Not Available,,Laboratory,1917,680.4,18.6,9239180,47%,53%,,78.2,,Not Available,"2014, 2015, 2016"
31 Milk Street,Yes,Office,31 Milk Street,02109,94901,100.6,59,,Office,1923,701.0,7.4,9543294,47%,53%,,9.4,,0304642004,"2014, 2015, 2016"
311nh-Boston Tremont Hotel Courtyard,Yes,Hotel,275 Tremont Street,02116,209999,107.9,31,,Hotel,2005,1650.4,7.9,22656094,45%,55%,,57.6,,Not Available,2016
313 Congress Street,Yes,Office,313 Congress Street,02210,72912,53.4,81,,Office,1890,376.5,5.2,3891970,100%,,,13.4,,0602692000,"2014, 2015, 2016"
315 on A,Yes,Multifamily Housing,315 A Street,02110,207496,66.5,75,,Multifamily Housing Parking,2013,944.2,4.6,13806178,35%,65%,,24.3,22277,0602761030,"2015, 2016"
320 Summer Street,Yes,Office,320 Summer Street,02210,122500,76.6,80,,Office,2013,770.1,6.3,9379215,66%,34%,,11.0,,02689-000,"2014, 2015, 2016"
321 Summer Street,Yes,Office,321 Summer Street,02210,91482,27.3,98,,Office Parking,1911,241.8,2.6,2499069,100%,,,5.6,,Not Available,2016
32-38 Bromfield Street,Yes,Office,32-38 Bromfield Street,02108,41818,83,85,,Office,1899,246.3,5.9,3472373,18%,8%,74%,6.8,,0304761000,2016
326 A St Condominium,Yes,Multifamily Housing,326 A St,02210,55000,39.1,Not Available,,Multifamily Housing Office,1900,139.7,2.5,2151453,27%,73%,,9.0,,0602706000,2016
33 Arch Street,Yes,Office,33 Arch Street,02110,648403,71,80,,Office Parking,2004,4456.9,6.9,46068753,100%,,,10.4,,0304643020,"2014, 2015, 2016"
33 Broad Street,Yes,Office,33 Broad Street,02109,40736,176.9,4,,Food Service Office Self-Storage Facility,1902,535.8,13.2,7207682,49%,51%,,13.7,,0303840000,2016
33 Harry Agganis Way,Yes,Residence Hall/Dormitory,33 Harry Agganis,02215,399578,81.5,60,,Residence Hall/Dormitory,2008,2477.0,6.2,32556517,53%,47%,,29.8,, 2100401000,"2014, 2015, 2016"
330 Beacon Street,Yes,Multifamily Housing,330 Beacon Street,02116,138000,567.9,1,,Multifamily Housing,1950,4171.4,30.2,78375851,0%,100%,,22.6,,Not Available,"2015, 2016"
330 Congress Street,Yes,Office,330 Congress Street,02210,36394,64.7,59,,Convenience Store Office,1895,215.1,5.9,2353063,88%,12%,,20.5,,0602668000,"2015, 2016"
333 Longwood,Yes,Mixed Use Property,333 Longwood Avenue,02115,99645,105.8,73,,Financial Office Office Parking Retail Store,1989,864.8,8.7,10543801,67%,,,11.3,,01855-000,"2014, 2016"
33-59 Congress Street,Yes,Office,33-59 Congress St,02109,241000,47.4,95,,Office,2008,935.4,3.9,11434089,66%,34%,,4.4,,0303882000,"2014, 2015, 2016"
337 Huntington Avenue,Yes,College/University,337 Huntington Avenue,02115,50023,71,Not Available,,College/University,1923,216.6,4.3,3553522,9%,73%,,34.3,,Not Available,"2015, 2016"
33751-Boston Marriott Long Wharf,Yes,Hotel,296 State Street,02109,350000,84.9,61,,Hotel,1990,2396.9,6.8,29711802,63%,37%,,58.1,,Not Available,"2014, 2015, 2016"
33787-Boston Copley Marriott,Yes,Hotel,110 Huntington Ave,02116,863000,83.6,65,,Hotel,1983,5967.9,6.9,72158282,57%,7%,36%,45.4,,0400985100,"2015, 2016"
35 Channel Center Condominium Trust,Yes,Multifamily Housing,35 Channel Center,02210,60000,22.4,100,,Multifamily Housing,2004,108.2,1.8,1345546,63%,37%,,33.7,,0602751300,2016
3-5 Cummington Street (616-620 Comm. Ave.),Yes,Laboratory,3-5 Cummington Street (616-620 Comm. Ave.),02215,149118,199.5,Not Available,,Laboratory,1913,2099.5,14.1,29754855,40%,60%,,16.9,,2100350000,"2014, 2015, 2016"
35 Kneeland Street,Yes,Medical Office,35 Kneeland Street,02111,115272,118.1,37,,Medical Office,1940,1191.4,10.3,13617913,70%,,30%,24.3,,0305367000,"2014, 2015, 2016"
350 Washington Street,Yes,Retail Store,350 Washington Street,02108,166700,89.8,46,,Fitness Center/Gym Retail Store,1965,1336.3,8.0,14972331,75%,,25%,21.5,,0304630010,"2014, 2015, 2016"
351 Mass Ave,Yes,Multifamily Housing,351 Mass Ave,02115,46200,92.5,94,,Multifamily Housing,1899,231.4,5.0,4274870,2%,98%,,62.2,,0402270000,"2015, 2016"
360 Newbury Condo Trust2,Yes,Multifamily Housing,360 Newbury Street 4th floor,02115,125000,45.0,69,,Multifamily Housing,1913,455.5,3.6,5625114,64%,36%,,13.0,,0503045010,2016
37-47 St. Mary's Street,Yes,Multifamily Housing,37-47 St. Mary's Street,02215,39130,82.2,83,,Multifamily Housing,1982,178.0,4.5,3215757,5%,95%,,39.7,,Not Available,2016
38 Chauncy Street,Yes,Office,38 Chauncy Street,02111,141980,64.1,75,,Office,1928,822.3,5.8,9098764,85%,15%,,12.4,,0304557000,"2014, 2015, 2016"
38 Hemenway,Yes,Multifamily Housing,38 Hemenway Street,02115,5083,549,20,,Multifamily Housing,1920,165.8,32.6,2790083,14%,86%,,266.8,,0401395000,"2015, 2016"
38 Newbury Street,Yes,Retail Store,38 Newbury Street,02116,45762,0.5,100,,Office Retail Store Self-Storage Facility,1927,2.3,0.1,23989,100%,,,17.6,,Not Available,"2014, 2015, 2016"
380 Stuart Street,Yes,Office,380 Stuart Street,02116,149000,39.9,96,,Office,1930,575.7,3.9,5950807,100%,,0%,12.7,,0401131000,"2014, 2015, 2016"
384 WARREN STREET,Yes,Other - Education,384 WARREN STREET,02119,33750,71.3,Not Available,,Other - Education,1920,164.6,4.9,2407566,35%,65%,,8.2,,1200967000,2016
38-46 Summer Street,Yes,Office,40 Summer Street ,02110,40398,50.2,81,,Office,1873,182.0,4.5,2029321,84%,16%,,9.4,,0304593000 0304594000 0304598000,2016
399 Boylston,Yes,Office,399 Boylston St,02116,229043,80.9,69,,Data Center Office Retail Store,1984,1791.3,7.8,18518855,100%,,,10.1,,0501230000,"2014, 2015, 2016"
399washington,Yes,Other,399 washington St,02108,67863,8.4,Not Available,,Other Retail Store,1918,38.7,0.6,569510,34%,66%,,2.2,,03-04736-000,"2014, 2015, 2016"
40 Berkeley Street,Yes,Hotel,40 Berkeley St,02116,74655,121.2,51,,Hotel,1899,536.0,7.2,9048121,14%,86%,,37.6,,0500865000,"2014, 2015, 2016"
40 Broad St.,Yes,Office,40 Broad St.,02109,286159,62.9,85,,Office Restaurant,1923,1644.2,5.7,18010780,82%,,18%,12.8,,0303824000,"2014, 2015, 2016"
40 Court Street,Yes,Office,40 Court Street,02108,130000,127.1,25,,Office,1914,1334.8,10.3,16517390,55%,17%,28%,15.4,,0302855000,"2014, 2015, 2016"
40-48 Buswell Street,Yes,Residence Hall/Dormitory,40-48 Buswell Street,02215,58302,132.5,60,,Residence Hall/Dormitory,1896,446.2,7.7,7723901,11%,89%,,46.8,,Not Available,"2014, 2015, 2016"
416 Marlborough Street Condominium Trust,Yes,Multifamily Housing,41 6 Marlborough Street,02115,781000,9.5,100,,Multifamily Housing,1988,537.4,0.7,7435030,44%,56%,,4.3,,0503596000,"2015, 2016"
42/38 Everett Street,Yes,Office,38 Everett Street,02135,42911,37.8,89,,Office,1111,156.9,3.7,1622065,100%,,,2.2,,Not Available,"2015, 2016"
420 Boylston Street aka 414-426 Boylston Street && 211 Berkeley Street,Yes,Office,420 Boylston Street,02116,128641,56.2,91,,Office,1906,565.1,4.4,7234050,57%,43%,,8.5,,0501157000,"2014, 2015, 2016"
42-44 Cummington Street,Yes,Laboratory,42-44 Cummington Street,02215,96500,274.7,Not Available,,Laboratory,1968,2045.1,21.2,26509956,55%,45%,,28.0,,Not Available,"2014, 2015, 2016"
425 Medford Street,Yes,Distribution Center,425 Medford Street,02129,186818,13.9,Not Available,,Distribution Center Parking,1899,168.7,0.9,2594149,27%,73%,,13.5,,0201799000  0201798000,"2014, 2015, 2016"
434 Massachusetts Avenue,Yes,Office,434 Massachusetts Avenue,02118,38000,53.2,79,,Fast Food Restaurant Office Restaurant,1900,174.2,4.6,2019774,76%,24%,,1.6,,0900728000,2016
44 Prince Street Condominium Trust,Yes,Multifamily Housing,24 Farnsworth Street,02210,76038,43.4,79,,Multifamily Housing,2006,224.0,2.9,3299257,34%,66%,,27.0,,0302347000,"2015, 2016"
44 School Street LLC,Yes,Office,44 School Street,02026,58921,26.6,100,,Office,1924,151.3,2.6,1564368,100%,,,12.9,,0304704000,"2014, 2015, 2016"
440 McClellan LLC,Yes,Non-Refrigerated Warehouse,440 William F McClellan Highway,02128,121101,38.6,55,,Non-Refrigerated Warehouse,1960,346.4,2.9,4676968,48%,52%,,3.3,,0101662000,"2015, 2016"
441 stuart st,Yes,Office,441 stuart st,02116,164124,48.9,81,,Fitness Center/Gym Office Parking,1937,757.4,4.6,8030356,94%,6%,,21.2,,0401088000,"2014, 2015, 2016"
45 Milk Street,Yes,Office,45 Milk Street,02210,76448,52.6,97,,Office,1893,310.5,4.1,4024463,55%,45%,,9.8,,0304662000,"2014, 2015, 2016"
45 Morrissey,Yes,Supermarket/Grocery Store,45 Morrissey Boulevard,02125,61800,233.8,69,,Supermarket/Grocery,1997,1217.5,19.7,14445852,71%,29%,,28.9,,1302364019,2016
45 Province Condominium,Yes,Multifamily Housing,45 Province Street,02108,195022,107.5,3,,Multifamily Housing,2009,1519.8,7.8,20957662,44%,56%,,33.7,,0304705000,"2015, 2016"
450 Harrison Ave,Yes,Office,450 Harrison Ave,02118,88000,31,100,,Office,1893,195.6,2.2,2730913,42%,58%,,14.9,,03-06532-000,"2014, 2015, 2016"
451D,Yes,Multifamily Housing,451 D Street,02210,80850,683.1,1,,Multifamily Housing,1949,5249.2,64.9,55229235,96%,4%,,484.1,,0602825000,2016
