Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,electricity,3.1400,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,natural gas,1.0500,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,electricity solar,1.0000,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,steam,1.2000,,,,,
,,,,,,,,,,,,,,,,,source:,https://portfoliomanager.zendesk.com/hc/en-us/articles/216670148-What-are-the-Site-to-Source-Conversion-Factors-,,,,,
160 Mass Ave,Yes,Residence Hall/Dormitory,160 Mass Ave,02215," 176,000 ",157.8,17,,Residence Hall/Dormitory,2013,1902.8,10.8," 27,775,831 ",35%,65%,,41.7,,,,Not Available,"2014, 2015, 2016",49482643.4610
162 Boylston St,Yes,Office,162 Boylston Street,02116," 52,191 ",40.2,Not Available,,"Office, Retail Store",1899,166.7,3.2," 2,100,510 ",23%,,,4.2,,The heat is historically shut off in the beginning of April for the warmer months.,,0500027000,2016,1516988.0331
166 St-Botolph St,Yes,Not Available,166 St-Botolph St,02118, Not Available ,Not Available,Not Available,,,1900,3.4,Not Available," 35,379 ",100%,,,,,,,Not Available,2016,111090.0600
1661 Washington St,Yes,Not Available,1661 Washington St,02118, Not Available ,Not Available,Not Available,,,1900,148.1,Not Available," 1,531,009 ",100%,,,,,,,Not Available,2016,4807367.6320
170 Parkside Condominium Trust,Yes,Multifamily Housing,170 Tremont St ,02111,96696,78.3,38,,"Multifamily Housing, Parking",1985,553.7,5.7,7566994.8,46%,54%,,38.8,,This is an 18 story condominium Building with 93 Residential units and 2 commercial units.  It has a 4 story fully enclosed under ground parking lot.  All units are individually owned and each unit has its own separate electric meter.  Gas is provided to all units for cooking.  The fuel source for heat is gas.,,0304842000,"2015, 2016",15220253.3407
170 Shawmut Ave,Yes,Manufacturing/Industrial Plant,170 Shawmut Avenue,02118," 52,224 ",40.8,Not Available,,Manufacturing/Industrial,1960,126.2,2.4," 2,132,348 ",14%,86%,,2.3,,,,030616000,"2014, 2015, 2016",2862890.0220
172-The Boxer (Bulfinch) Hotel,Yes,Hotel,107 Merrimac Street,02114," 47,420 ",118.5,56,,Hotel,2005,383.9,8.1," 5,618,625 ",35%,65%,,83.3,,,,Not Available,"2015, 2016",10009580.9720
175 Berkeley St. (0001),Yes,Office,175 Berkeley St.,02116," 522,349 ",76.5,86,"2015, 2011, 2010, 2009, 2008","Office, Parking, Restaurant",1958,3221.2,6.2," 39,935,713 ",63%,37%,,9.5,,"6/2013 - New Conference Center Addition opens.
9/2013 - Major Bldg Renovation Project Underway.  Floors 3-10 (half of 9th Fl) are completely vacant.
9/2015 - Reoccupancy of 47,026 SF 1st Floor Renovation",,0501153000 0501155000,"2014, 2015, 2016",94515851.0104
175 Federal Street,Yes,Office,175 Federal Street`,02110," 227,365 ",61,81,"2015, 2014, 2012",Office,1977,1341.2,5.9," 13,863,090 ",100%,,,10.0,,,,0304231000,"2014, 2015, 2016",43530102.9140
175 McClellan HWY,Yes,Mixed Use Property,144 Addison St,02128," 405,215 ",37.5,Not Available,,"Manufacturing/Industrial, Non-Refrigerated Warehouse, Office, Other, Parking, Worship Facility",1910,1085.9,2.7," 15,211,693 ",42%,58%,,5.6,,"a)No default energy values were used. 
b) There is an estimation on the ""Warehouse Vacancy"" because of an area that could also be considered a hallway. Difference is ~ 236 sf.
c) Data was collected from NSTAR, National Grid, and a compilation of our water usage from the Boston Water and Sewer Commission.

",,00548-100,"2014, 2015, 2016",29325101.7654
175 North Harvard Street Building,Yes,Parking,175 North Harvard Street,02134," 39,709 ",101.7,Not Available,,Parking,2006,260.9,6.6," 4,037,968 ",26%,74%,,,,,,2200534000,2016,6434098.3705
176 Federal Street,Yes,Office,176 Federal Street,02110," 76,323 ",103.8,Not Available,,"Office, Restaurant, Retail Store",1900,766.5,10.0," 7,923,258 ",100%,,,16.0,,,,0304379000,"2015, 2016",24879028.5500
176 Lincoln St,Yes,Office,176 Lincoln St,02135," 450,000 ",0.1,100,,Office,2002,3.0,0.0," 30,712 ",100%,,,,,"Property was abandon in 2013. Office space building fit-out that was never finished.
Energy use is from signage and exterior lights in site. ",,2200969000,"2014, 2015, 2016",96436.9360
177 Huntington Ave.,Yes,Office,177 Huntington Ave.,02115," 247,733 ",140.9,45,2014,Office,1972,2648.1,10.7," 34,910,136 ",32%,,67%,27.9,,,,0401150010,"2014, 2015, 2016",63145453.2733
177 Longwood Ave Dorms-collegeUniversity,Yes,College/University,177 Longwood Ave Dorms,02115," 95,631 ",60.1,Not Available,,College/University,1995,556.1,5.8," 5,748,229 ",100%,,,25.4,,,,0401844000,"2014, 2015, 2016",18049439.6880
178-179 Tremont Street,Yes,Office,178-179 Tremont Street,02111," 50,600 ",124.4,50,,Office,1916,484.8,9.6," 6,294,572 ",55%,45%,,20.3,,,,0304884000,"2014, 2015, 2016",13844911.9938
179 Lincoln Street,Yes,Office,179 Lincoln Street,02111,236461,63.2,90,"2016, 2015, 2014, 2013, 2012","Office, Parking",1899,1327.9,5.6,14940712.3,82%,18%,,7.4,,,,05332-000,"2014, 2015, 2016",41293140.6547
179 Longwood Ave-collegeUniversity,Yes,College/University,179 Longwood Ave,02115," 347,844 ",114.8,Not Available,,College/University,1995,2277.3,6.5," 39,938,197 ",9%,91%,,21.4,,,,0401844000,"2014, 2015, 2016",49447481.9533
180 beacon condominium trust,Yes,Multifamily Housing,180 beacon street,02116," 180,000 ",Not Available,Not Available,,"Multifamily Housing, Parking",1968,Not Available,Not Available, Not Available ,,,,,,,,Not Available,"2014, 2015, 2016",#VALUE!
180 Longwood,Yes,Other,180 Longwood,02115," 61,540 ",146.9,Not Available,,Other,1920,672.6,10.9," 9,037,500 ",32%,,54%,6.8,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.",,0401872000,"2014, 2015, 2016",14937179.8347
180 North Beacon Street,Yes,Multifamily Housing,180 North Beacon Street,02135,32955,3.3,100,,Multifamily Housing,1970,10.7,0.3,110091.6,100%,,,,,,,Not Available,2016,345687.6240
1809650030,Yes,Non-Refrigerated Warehouse,Meadow Road,02136,450919,Not Available,Not Available,,Non-Refrigerated Warehouse,1950,Not Available,Not Available,Not Available,,,,3.7,,,,Not Available,2016,#VALUE!
183 Forest Hills St,Yes,Multifamily Housing,183 Forest Hills St,02130," 66,828 ",22.7,100,,Multifamily Housing,1900,126.6,1.9," 1,514,262 ",70%,30%,,20.3,,,,1102906000,"2015, 2016",3805340.1547
184 High Street,Yes,Office,184 High Street,0210," 50,335 ",101.8,57,,Office,1903,524.1,10.4," 5,121,592 ",44%,56%,,30.3,,,,Not Available,"2014, 2015, 2016",10087486.6184
185 Devonshire Commercial Condo,Yes,Office,185 Devonshire Street,02110," 77,211 ",69.1,84,,Office,1920,441.2,5.7," 5,337,348 ",54%,,46%,14.3,,,,0304665000,"2014, 2015, 2016",11996223.3648
186 Lincoln Street,Yes,Office,186 Lincoln Street,02111," 68,350 ",50.6,Not Available,,Office,1899,292.6,4.3," 3,458,108 ",57%,12%,,5.3,,,,030534010,"2014, 2015, 2016",6625043.1148
19 Hampden,Yes,Manufacturing/Industrial Plant,19 Hampden St,02119," 35,470 ",67.3,Not Available,,Manufacturing/Industrial,1997,155.5,4.4," 2,388,150 ",27%,73%,,4.2,,,,0802130000,2016,3855190.2221
1960-1980 Commonwealth Ave.,Yes,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",02135," 141,204 ",95.8,48,,Multifamily Housing,1937,781.7,5.5," 13,527,798 ",11%,89%,,30.2,,,,02469-000,"2015, 2016",17314229.1722
198 Geneva Avenue,Yes,Office,198 Geneva Avenue,02121," 60,000 ",92.8,71,,Office,1968,390.2,6.5," 5,570,991 ",39%,61%,,14.5,,,,1400038000,"2014, 2015, 2016",10390455.8736
2 - 12 Dudley T,Yes,Multifamily Housing,2 Dudley Ter.,02125," 14,861 ",70.1,Not Available,,Multifamily Housing,1900,61.6,4.1," 1,041,937 ",14%,86%,,45.5,,,,0703926000,"2015, 2016",1398904.7505
2 Alger Street Realty Trust,Yes,Distribution Center,2 Alger Street,02127," 42,800 ",27.1,58,,Distribution Center,1967,112.2,2.6," 1,159,701 ",100%,,,0.6,,,,Not Available,2016,3641462.3960
2 Atlantic,Yes,Office,2 Atlantic Avenue,02110," 68,035 ",147.4,28,,"Office, Parking",1998,769.9,7.8," 10,026,138 ",54%,46%,,21.0,,"During 2014:  Construction renovation project on 3rd floor (about 18% of Building rsf) completed around July 2014. Mechanical system upgrade on 3rd floor completed around January 2015. Glycol system flush out occurred during November/December 2014.

During 2015:  Construction renovation project on the 4th floor; constructed intercommunicating stairway between the 3rd & 4th floors; additional rework construction on 3rd floor. These construction projects were completed around March 31, 2016.  Upgraded and replaced the cooling tower and roof, both of which were completed around February 2016.",,0303030010,"2014, 2015, 2016",21842943.5932
2 Cummington Street (23-25 Blandford Street),Yes,Laboratory,2 Cummington Street (23-25 Blandford Street),02215,61754,154.7,Not Available,,Laboratory,1905,717.0,11.6,9552723.3,50%,50%,,30.2,,,,2100295000,"2014, 2015, 2016",20012955.3135
2 Morrissey Boulevard,Yes,Financial Office,2 Morrissey Boulevard,02125," 425,737 ",124.9,Not Available,,Financial Office,1959,4388.3,10.3," 53,167,151 ",67%,33%,,20.8,,,,"1303405000, 1303404000, 1303403000",2016,130275470.8304
2 Oliver St.,Yes,Office,2 Oliver St.,02110," 233,763 ",50.1,86,,Office,1900,1133.3,4.8," 11,713,910 ",100%,,,13.2,,,,0304026000,"2014, 2015, 2016",36781678.0280
2 Park Plaza,Yes,Retail Store,2 Park Plaza,02116," 117,000 ",8.7,100,,"Office, Retail Store",1800,98.3,0.8," 1,016,032 ",100%,,,,,,,Not Available,2016,3190341.1080
20 City Hall Ave,Municipal,Office,20 City Hall Ave,02108,9680,93.6,53,,Office,2000,67.7,7,906454.4,27%,,73%,,,,,Not Available,2016,#VALUE!
20 Custom House,Yes,Office,20 Custom House,02110," 96,032 ",162,17,,Office,1984,1505.3,15.7," 15,559,410 ",100%,,,25.8,,,,0303998000,"2014, 2015, 2016",48856545.8300
20 Somerset Building,Yes,College/University,20 Somerset Street,02108," 103,599 ",46.7,Not Available,,College/University,2015,468.0,4.5," 4,837,829 ",100%,,,5.0,,,,Not Available,2016,15190781.8040
20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,Yes,Office,20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,02110," 118,000 ",77.5,Not Available,,Office,1873,740.1,6.3," 9,140,792 ",48%,,52%,7.8,,"This property is a complex of 3 buildings with shared systems & we are reporting the 1 complex of 3 buildings per the advice of Nikhil Nadkarni at the City of Boston.  The other Parcel ID#'s associated with this property are 0304617000 85 Franklin and 0304616000 Winthrop LA  (aka 77 Franklin) For BERDO reporting- aggregate electric data for the property was obtained from Eversource via the BERDO portal.  Due to the dates of the billing cycles for BWSC & Veolia, For 2013 usage period for water bills is 1/06/2013-1/05/2014 (124,640 cubic feet), Steam is 1/03/2013-1/3/2014 (3775 klbs thousand lbs).  For 2014, usage period for water bills is 1/5/14-1/5/15 (131,980 cubic feet), Steam is 1/3/14-12/31/14 (3,728 klbs thousand lbs). For 2015, usage period for water bills is 1/5/15-1/12/16 (124,310 cubic feet) & Steam is 12/31/14-12/31/15 (4,012 klbs thousand lbs)




Default values were used for  # of computers, operating hours & # of workers since data was not available from all tenants. ",,0304615000 0304617000  0304616000 ,"2014, 2015, 2016",19480855.2710
200 Clarendon St.,Yes,Office,200 Clarendon Street,02116," 2,254,777 ",95.7,75,"2009, 2008, 2007, 2006, 2005","Data Center, Office, Parking",1976,17824.5,7.9," 215,787,141 ",53%,,47%,12.7,,,,0401134000,"2014, 2015, 2016",480816907.1306
200 Newbury Street,Yes,Retail Store,200 Newbury Street,02116,48000,54.2,34,,"Office, Parking, Retail Store",1995,251.6,5.2,2600149.1,100%,,,14.3,,,,0503201000,2016,8164468.1740
200 portlands st,Yes,Office,200 portland st,02114,98000,13.2,100,,"Office, Restaurant",1900,125.1,1.3,1293319.6,100%,,,16.4,,,,Not Available,"2014, 2016",4061023.5440
200 State Street,Yes,Office,200 State Street,02109," 352,323 ",51,83,,"Office, Parking",1986,1738.9,4.9," 17,974,447 ",100%,,,15.5,,,,0303790002,"2014, 2016",56439763.2660
201-207 South Street,Yes,Office,201-207 South Street,02111," 62,487 ",110.7,64,,Office,1909,464.8,7.4," 6,919,893 ",32%,68%,,16.2,,,,05348-000,"2014, 2015, 2016",11893912.7759
20-28 Cummington Street (24 Cummington St),Yes,Laboratory,20-28 Cummington Street (24 Cummington St),02215,188575,365.5,Not Available,,Laboratory,1983,5203.5,27.6,68923322,51%,49%,,47.4,,,,2100288000,"2014, 2015, 2016",145834857.0198
205 Portland Street,Yes,Other,205 Portland Street,02114," 47,500 ",29.1,Not Available,,Other,1900,116.1,2.4," 1,381,857 ",71%,29%,,13.1,,,,0301651000,"2015, 2016",3501487.7057
21 Custom House,Yes,Office,21 Custom House Street,02210," 105,197 ",84.6,61,,"Office, Parking",1984,861.0,8.2," 8,899,905 ",100%,,,13.1,,,,0303988000,"2014, 2015, 2016",27945702.3280
211 Congress Street,Yes,Office,211 Congress Street,02110," 78,101 ",75.9,80,,Office,1922,438.7,5.6," 5,930,621 ",48%,52%,,13.9,,,,Not Available,"2014, 2015, 2016",12176751.0372
213-217 Bay State Road,Yes,Worship Facility,213-217 Bay State Road,02215,130204,29.7,Not Available,,Worship Facility,2003,276.4,2.1,3865962.4,42%,58%,,4.5,,,,Not Available,"2014, 2015, 2016",7452802.3147
216 Tremont,Yes,College/University,216 Tremont Street,02116," 45,388 ",104,Not Available,,College/University,1926,373.8,8.2," 4,721,068 ",42%,,58%,11.9,,,,Not Available,2016,9512008.2094
22 Elkins,Yes,Office,22 Elkins Street,02127," 26,215 ",138.9,52,,Office,1900,218.8,8.3," 3,642,110 ",16%,84%,,2.7,,,,0603405060,"2014, 2015, 2016",5042137.3609
22 Hammond Street,Yes,Multifamily Housing,22 Hammond Street,02120," 114,190 ",84.1,100,,Multifamily Housing,1900,509.8,4.5," 9,598,586 ",,100%,,46.9,,,,0901850000,"2015, 2016",10078514.9850
22-24 Buswell Street,Yes,Multifamily Housing,22-24 Buswell Street,02215,35036,66.6,87,,Multifamily Housing,1914,139.3,4.0,2331808.5,15%,85%,,38.7,,,,Not Available,"2014, 2015, 2016",3179420.8898
225 Centre LLC,Yes,Multifamily Housing,225 Centre St,02119," 105,949 ",59.7,96,,"Multifamily Housing, Parking, Retail Store",2013,399.1,3.8,"6,320,942.5",23%,77%,,5.7,,,,1100896020,"2015, 2016",9675466.6848
225 Franklin Street,Yes,Office,225 Franklin Street,02110," 1,085,514 ",100.8,79,"2015, 2014, 2012, 2011","Office, Parking",1966,8803.6,8.1," 109,416,038 ",46%,,54%,14.7,,"The building is currently seeking LEED EBOM Certification:
Project Name = 225 Franklin Street
Project ID = 1000063072



Meters ""Board A"" and ""Board B"" are sub-meters. The electric grid meters ""Board C"", ""Board D"", ""Site 225 Franklin Electric Power"", and the District Steam meters ""Cooling 24049"" and ""Heating 24041"" account for whole-building energy consumption.
 
March 31, 2016",,0304134000,"2014, 2015, 2016",228942117.2835
226 Causeway Primary Condo Trust,Yes,Mixed Use Property,226 Causeway St,02114,366637,78.8,54,,"Multifamily Housing, Office, Parking",1907,2494.2,6.8,28904628.5,76%,24%,,22.4,,,,0303061020,"2015, 2016",76261971.8344
230 Congress Street,Yes,Office,230 Congress Street,02210," 153,259 ",25693.9,1,,Office,1930,262372.0,1712.0," 3,937,825,902 ",1%,,99%,15.8,,,,0304190000,"2014, 2015, 2016",4801784904.8988
233 Bay State Road,Yes,Not Available,233 Bay State Road,02215, Not Available ,Not Available,Not Available,,,1968,Not Available,Not Available,Not Available,,,,,,LEED Project Number 1000023830,,Not Available,"2015, 2016",#VALUE!
239 Causeway Street,Yes,Office,239 Causeway Street,02114," 63,750 ",28.1,Not Available,,Office,1917,136.8,2.1," 1,794,380 ",53%,47%,,0.1,,There was an average of 50% vacancy in 2014.,,01517000,"2015, 2016",3871733.2945
24 Federal Street,Yes,Office,24 Federal Street,02110," 74,406 ",97.9,50,,Office,1921,563.7,7.6," 7,285,844 ",56%,44%,,8.2,,,,Not Available,"2015, 2016",16177487.5735
241 St. Botolph,Yes,College/University,241 St. Botolph Street,02115,60000,82.9,Not Available,,College/University,1905,329.0,5.5,4972970.6,30%,70%,,9.4,,,,Not Available,2016,8339671.6962
25 Buick Street,Yes,Office,25 Buick Street,02215,96215,208.1,14,,"Office, Parking",1928,1381.5,14.4,20026391.8,36%,64%,,22.6,,,,2100400000,"2014, 2015, 2016",36095568.5803
25 Channel Center Condominium Trust,Yes,Multifamily Housing,25 Channel Center,02210," 60,000 ",78,32,,Multifamily Housing,2004,337.7,5.6," 4,681,505 ",44%,56%,,46.2,,,,0602751100,2016,9220691.6571
25 New Chardon Street,Yes,Office,25 New Chardon Street,02114," 111,338 ",92,74,"2015, 2014","Office, Parking",1967,737.8,6.6," 10,242,317 ",43%,57%,,1454.6,,A medical training office on third floor makes extensive use of computers but does not have a dedicated data center,,0302622000,"2014, 2015, 2016",19959203.9174
25 Park Drive,Yes,Multifamily Housing,25 Park Drive,02215,26150,5.5,100,,Multifamily Housing,1960,13.9,0.5,143952.3,100%,,,,,,,Not Available,2016,452010.2220
25 School Street Inc,Yes,Other - Lodging/Residential,2053R Columbus Ave,02119," 51,897 ",102.1,Not Available,,Other - Lodging/Residential,2007,346.2,6.7," 5,300,433 ",28%,72%,,32.1,,,,1101588600,"2015, 2016",8667267.7146
250 Cambridge,Yes,Multifamily Housing,250 Cambridge St.,02114,86006,77.1,21,,Multifamily Housing,1978,456.2,5.3,6627166.5,36%,64%,,48.2,,Data is accurate and accounted for. Energy consumption data was sent by Eversource. ,,0502186000,"2015, 2016",11944804.8996
250 summer st,Yes,Office,250 summer st,02210," 100,096 ",62,75,,Office,1903,581.5,5.8," 6,208,666 ",93%,7%,,13.1,,The report covers parcels 0602701002 and 0602701001,,0602701002 0602701001,"2014, 2015, 2016",18586883.7036
251 Causeway - Ste# 700490,Yes,Office, 251 Causeway Street,02114," 150,097 ",64,73,"2015, 2014, 2013","Medical Office, Office",1909,914.0,6.1," 9,600,384 ",96%,3%,,12.5,,,,0301510000,"2014, 2015, 2016",29241808.1027
253 Summer/27 Melcher,Yes,Office,253 summer st,02210," 216,012 ",64.3,87,,Office,1902,1148.5,5.3," 13,896,516 ",68%,32%,,10.2,,"This report covers parcels 0601163005, 0601163015, 0601163025, and 0601164005.",,0601163005 0601163015 0601163025 0601164005,"2014, 2015, 2016",34341070.0921
255 State Street Building,Yes,Office,255 State Street,02109,202022,Not Available,Not Available,,Office,1918,Not Available,Not Available,Not Available,,,,26.8,,,,Not Available,"2015, 2016",#VALUE!
25833-Brighton/Lincoln ST,Yes,Non-Refrigerated Warehouse,156 Lincoln St,02135," 113,000 ",9,99,,Non-Refrigerated Warehouse,2008,80.1,0.7," 1,020,521 ",58%,42%,,2.7,,,,2200972000,"2014, 2015, 2016",2308622.8324
26 Irwin Av,Yes,Multifamily Housing,26 Irwin Av,02119," 4,032 ",200.3,Not Available,,Multifamily Housing,1889,45.7,11.3," 807,716 ",8%,92%,,33.9,,,,1200403000,"2015, 2016",983152.0369
26 West,Yes,Office,26 West Street,02111," 50,670 ",34.5,92,,"Office, Personal Services",1910,169.2,3.3," 1,749,346 ",100%,,,22.4,,,,0304840000,"2014, 2015, 2016",5492944.8700
260 Franklin Street,Yes,Office,260 Franklin Street,02110," 372,562 ",64.4,82,"2016, 2015, 2012, 2011, 2010, 2007","Office, Parking",1984,2320.0,6.2," 23,980,133 ",100%,,,14.1,,,,0304023000,"2014, 2015, 2016",75297617.3060
260-266 Huntington Avenue,Yes,Performing Arts,260-266 Huntington Avenue,02215,50266,91.7,Not Available,,Performing Arts,1924,326.7,6.5,4607028.4,41%,59%,,14.5,,,,Not Available,"2014, 2015, 2016",8785142.4560
264-270 Bay State Road,Yes,Office,264-270 Bay State Road,02215,65016,348,6,,Office,1913,1264.2,19.4,22622633.2,6%,94%,,40.7,,,,Not Available,"2014, 2015, 2016",26590643.0633
264-270 Comm Ave,Yes,College/University,262-270 Comm Ave,02215," 60,170 ",86.5,Not Available,,College/University,1900,105.2,1.7," 5,206,474 ",21%,,,30.5,,This is a dormitory building. ,,Not Available,2016,3433148.7578
265 Franklin Street,Yes,Office,265 Franklin Street,02110," 364,493 ",63,84,2015,"Office, Parking",1984,2155.6,5.9," 22,976,964 ",90%,,10%,11.7,,,,Not Available,"2014, 2015, 2016",67690134.7656
26570 - Boston Commons 19,Yes,Movie Theater,175 Tremont Street,02111," 113,000 ",94.5,Not Available,,Movie Theater,1990,1032.6,9.1," 10,672,975 ",100%,,,,,,,0304870408,"2015, 2016",33513140.2440
266 Summer Street,Yes,Office,266 Summer Street,02210," 55,906 ",33.5,96,,"Office, Other",1899,163.2,2.9," 1,873,661 ",78%,22%,,10.7,,,,0602701000,"2014, 2015, 2016",5021784.8721
268 Summer Street,Yes,Office,268 Summer Street,02210," 69,916 ",60.4,63,,Office,1898,408.3,5.8," 4,220,849 ",100%,,,11.2,,,,0602700000,"2014, 2015, 2016",13253465.8600
27 School Street,Yes,Office,27 School Street,02110," 56,742 ",55.3,84,,Office,1903,281.5,5.0," 3,136,014 ",77%,,23%,35.1,,,,0302864000,"2014, 2015, 2016",8447795.0520
27 State Street,Yes,Office,25-27 State St,02109," 28,821 ",30,100,,Office,1974,45.9,1.6," 864,200 ",,100%,,,,,,Not Available,"2015, 2016",907410.0000
27016-Mattapan(Hydepk)/River St,Yes,Non-Refrigerated Warehouse,800 River Street,02126," 50,700 ",21.6,90,,Non-Refrigerated Warehouse,2000,74.1,1.5," 1,094,581 ",34%,66%,,0.5,,,,1804365000,"2014, 2015, 2016",1927119.4847
273-277 Babcock Street,Yes,Residence Hall/Dormitory,273-277 Babcock Street,02215,451494,75.6,50,,Residence Hall/Dormitory,1963,2556.7,5.7,34127291.5,50%,50%,,36.3,,,,2100402000,"2014, 2015, 2016",71496675.6925
274 Summer Street,Yes,Office,274 Summer St,02210," 74,046 ",67.6,68,,"Office, Restaurant",1899,477.4,6.4," 5,003,413 ",97%,3%,,11.4,,,,0602699000,"2014, 2015, 2016",15397003.7481
